FIPS,City Name,,Population,Growth,Adjusted Land Area,Density,,Total Acres,% Natural,% Designed,Total Park Units,"Acres per 1,000 people","Parks per 10,000 residents",Parks as % City Area
PS0667000,"San Francisco, CA",," 883,180 ",Medium Slow," 29,892 ",High,," 5,837 ",43%,57%, 226 , 6.6 , 2.6 ,20%
0668000,"San Jose, CA",," 1,010,888 ",Medium Slow," 112,666 ",Medium-High,," 15,222 ",79%,21%, 224 , 15.1 , 2.2 ,14%
0669000,"Santa Ana, CA",," 310,626 ",Limited or Decline," 17,520 ",High,, 609 ,2%,98%, 49 , 2.0 , 1.6 ,3%
0669088,"Santa Clarita, CA",," 222,654 ",Very Fast," 45,280 ",Medium-Low,," 10,867 ",96%,4%, 37 , 48.8 , 1.7 ,24%
0465000,"Scottsdale, AZ",," 246,948 ",Medium Fast," 117,587 ",Low,," 31,598 ",97%,3%, 44 , 128.0 , 1.8 ,27%
5363000,"Seattle, WA",," 757,849 ",Medium Fast," 52,810 ",High,," 6,481 ",40%,60%, 490 , 8.6 , 6.5 ,12%
5367000,"Spokane, WA",," 232,315 ",Medium Slow," 40,957 ",Medium-Low,," 2,910 ",33%,67%, 99 , 12.5 , 4.3 ,7%
2965000,"St. Louis, MO",," 293,644 ",Limited or Decline," 38,968 ",Medium-High,," 3,894 ",5%,95%, 111 , 13.3 , 3.8 ,10%
2758000,"St. Paul, MN",," 310,625 ",Limited or Decline," 32,338 ",Medium-High,," 4,974 ",64%,36%, 191 , 16.0 , 6.1 ,15%
1263000,"St. Petersburg, FL",," 261,063 ",Limited or Decline," 39,410 ",Medium-Low,," 5,343 ",61%,39%, 209 , 20.5 , 8.0 ,14%
0675000,"Stockton, CA",," 313,613 ",Medium Fast," 39,378 ",Medium-High,," 1,199 ",6%,94%, 66 , 3.8 , 2.1 ,3%
1271000,"Tampa, FL",," 391,710 ",Medium Fast," 70,143 ",Medium-Low,," 5,045 ",50%,50%, 191 , 12.9 , 4.9 ,7%
3977000,"Toledo, OH",," 266,422 ",Limited or Decline," 51,038 ",Medium-Low,," 3,133 ",45%,55%, 136 , 11.8 , 5.1 ,6%
PS0477000,"Tucson, AZ",," 542,781 ",Medium Slow," 153,087 ",Low,," 5,957 ",43%,57%, 133 , 11.0 , 2.5 ,4%
4075000,"Tulsa, OK",," 416,599 ",Limited or Decline," 124,821 ",Low,," 8,125 ",59%,41%, 136 , 19.5 , 3.3 ,7%
5182000,"Virginia Beach, VA",," 461,744 ",Limited or Decline," 156,555 ",Low,," 25,841 ",85%,15%, 1 , 56.0 , 0.0 ,17%
1150000,"Washington, DC",," 698,878 ",Medium Fast," 39,004 ",High,," 9,291 ",48%,52%, 239 , 13.3 , 3.4 ,24%
2079000,"Wichita, KS",," 381,998 ",Medium Slow," 101,804 ",Low,," 4,099 ",59%,41%, 116 , 10.7 , 3.0 ,4%
3775000,"Winston-Salem, NC",," 244,426 ",Medium Fast," 85,067 ",Low,," 3,797 ",2%,98%, 89 , 15.5 , 3.6 ,4%
,,,,,,,,,,,,,,
,Totals,,,,,,,,,,,,,
,,,Population,,Adjusted Land Area,,,Total Acres,% Natural,% Designed,Total Park Units,"Acres per 1,000 people","Parks per 10,000 residents",Parks as % City Area
,Among all 100 cities,," 65,518,869 ",," 11,476,309 ",,," 2,080,283 ",82%,18%," 22,988 ", 31.8 , 3.5 ,18%
,Median City,,,,,,," 5,575 ",57%,43%, 167 , 13.3 , 3.4 ,10%
,Average City,,,,,,," 20,803 ",53%,47%, 230 , 52 , 4 ,12%
,,,,,,,,,,,,,,
,By Density (Median City),,,,,,,,,,,,,
,High,,,,,,," 5,009 ",41%,59%, 197 , 7.4 , 3.5 ,12%
,Medium-High,,,,,,," 4,575 ",49%,51%, 168 , 10.6 , 4.0 ,10%
,Medium-Low,,,,,,," 5,364 ",58%,42%, 167 , 13.6 , 3.5 ,8%
,Low,,,,,,," 15,275 ",67%,33%, 133 , 27.7 , 3.3 ,8%
,,,,,,,,,,,,,,
,By Growth (Median City),,,,,,,,,,,,,
,Very Fast,,,,,,," 5,364 ",76%,24%, 72 , 13.0 , 2.4 ,6%
,Medium Fast,,,,,,," 6,778 ",48%,52%, 195 , 14.6 , 3.8 ,10%
,Medium Slow,,,,,,," 5,897 ",56%,44%, 194 , 12.3 , 3.2 ,11%
,Limited or Decline,,,,,,," 5,102 ",50%,50%, 175 , 10.2 , 4.2 ,10%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,
,Natural Lands,"Natural lands are either pristine or reclaimed areas that are open to the public and left largely undisturbed and managed for their conservation and ecological value (i.e., wetlands, forests, deserts). While they may have trails and occasional benches, they are not developed for any recreation activities beyond walking, running, and cycling. ",,,,,,,,,,,,
,Designed lands,"Designed lands are parklands that have been created, constructed, planted, and managed primarily for human use. They include playgrounds, neighborhood parks, mini-parks, picnic meadows, sports fields, plazas, boulevards, municipal golf courses, municipal cemeteries, and all areas served by roadways, parking lots and service buildings and facilities.",,,,,,,,,,,,
,Undeveloped,This is land owned by the agency but that has not yet been formally opened or developed for public use and is not managed or patrolled.,,,,,,,,,,,,
,Adjusted city area,"Adjusted land areas are based on GIS data received from each city and remove unpopulated land area such as that from railyards, airports, and large water bodies.",,,,,,,,,,,,
